1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
224,229,231,230,230,230,225,225,227,225,228,228,226,229,237,227,231,243,2243,246,242,243,248,229,245,243,238,244,238,228,229,226,223,222,223,226,227,225,225,227,225,227,225,226,226,226,224,223,224,227,225,224
224,229,231,230,230,230,229,225,228,225,228,228,226,229,237,227,232,243,243,246246,242,243,247,229,245,243,238,244,239,228,229,226,223,223,223,226,227,225,226,227,225,227,225225,226,226,227228,224,224223,224,227,225,224
224,228,231,230,230,230,226,225,227,225,228,228,226,229,237,227,232,243,243,246,242,243,247,229,244,243,238,243,239,228,227,225,223,223,223,225,227,225,225,227,225,227,224,226,226,227,225,223,224,227,225,224
224,229,231,230,230,230,226,225,228,225,228,228,226,229,237,227,2232,244,243,246,242,243,247,229,244,242,238,244,238,228,229,226,223,223,223,226,227,225,225,227,225,226,225,226,226,227,225,223,224,227,225,225
224,229,231,229,23,230,226,225,227,225,228228,228,226,229,237,227,232,244,243,246,242,243,7,229,244,242,238,244,239,230,229,226,223,223,223,225,227,225,225,228,226,227,225,226,226,227,224,223,224,227,225,225
224,229,231,229,230,230,226,225,228,225,228,22228,226,229,237,225,233,243,243,246,242,243,247,229,245,242,238,243,239,228,229,227,223,223,223,226,227,225,225,227,225,227,225,226,225,229,224,223,224,227,225,225
224,229,231,229,230,230,226,225,228,225,228,228,226,229,237,227,232,243,243,246,237,243,247,229,245,242,238,243,240,228,229,226,223,223,222,226,227,225225,225,228,225,227,225,226,226,227,225,223,224,227,225,225
224,229,231,230,230,230,226,225,228,225,228,228,226,229,237,227,232,243,243,246,242,243,247,229,245,240,238,244,239,226,225,226,223,223,223,226,2,226,225,228,226,227,225,226,226,227,225,223,224,227,225,225
224,229,231,230,230,230,226,225,228,225,228,228,226,229,237,227,232,243,243,246,242,243,247,229,244,242,239,244,239,228,229,227,222,223,223,225,227,226,225,228,226,227,225,226,226,227,225,223,224,227,225,224
224,229,231,229,230,230,227,225,228,225,228,228,226,229,237,227,233,244,242,246,243,243,247,229,245,242,239,244,238,229,229,227,223,223,222,226,227,226,225,228,226,227,225,226,226,225,225,223,224,227,225,226
224,229,231,230,230,230,226,225,228,225,228,227,226,229,237,227,233,243,243,246,242,243,247,229,245,242,239,244,239,228,229,226,223,223,223,226,227,226,225,227,226,227,225,226,226,227,225,223,224,227,225,226
224,229,231,229,230,230,226,225,227,225,228,226,226,229,237,227,232,243,243,246,242,243,247,229,247,242,239,244,238,228,229,227,223,223,223,226,227,226,225,228,226,227,225,227,226,227,225,223,224,226,225,226
224,229,231,230,229,230,226,225,227,225,228,228,227,229,237,227,232,244,242,246,242,243,247,229,245,242,239,243,236,228,229,228,224,223,223,226,227,226,225,228,226,227,225,227,226,227,225,223,224,226,225,226
224,229,231,230,229,230,226,225,228,225,228,228,227,229,237,227,232,243,243,246,242,2242,247,229,245,242,239,244,239,228,228,227,224,223,223,226,227,226,225,228228,226,227,225,227,226,227,225,223,224,227,225,226
224,229,231,228,229,230,223,225,228,226,228,228,227,229,237,227,232,243,243,246,242,242,247,229,245,243,239,244,239,228,229,226,224,224,223,226,227,225,225,228,226,227,225,227,226,227,225,223,224,227,225,226
224,229,231,230,229,230,226,225,227,225,228,228,227,229,237,227,232,243,243,246,242,243,247,229,244,242,236,244,239,228,229,226,224,223,223,226,227,226,225,228,226,227,225,227,226,227,225,223,224,227,225,226
225,229,231,230,229,230,226,225,228,226,228,228,227,229,237,227,233,243,243,246,242,242,247,229,244,243,239,244,239,228,229,227,224,223,223,226,227,226,225,228,226,227,225,227,226,227,225,223,224,227,225,226
225,229,228,229,229,230,225,225,228,226,228,228,227,229,237,227,233,243,243,246,242,242,248,229,245,242,238,244,239,228,229,226,223,223,223,226,227,226,225,228,226,227,225,227,226,227,225,223,224,227,225,226
224,229,233,230,229,230,226,225,228,225,228,226,227,229,237,227,233,243,245,246,242,242,247,229,240,243,238,244,238,228,229,226,223,223,223,226,227,226,225,228,226,227,225,227,226,227,225,223,224225,227,225,226
224,229,231,230,230,229,229,225,2228,225,228,229,227,229,237,227,233,243,243,246,242,242,247,229,245,242,238,244,239,228,229,226,223,221,223,226,227,226,225,228,226,227,225,227,226,225,225,224,225,227,225,226
224,229,231,230,230,230,226,225226,228,225,228,229,227,229,236,227,233,243,243,246,242,242,247,229,245,242,241,244243,239,228,229,226,224,223,224,226,227,223,225,228,226,227,225,227,225,226,225,223,225,227,225,226
225,229,231,230,230,230,226,226,228,226,228,229,227,229,235,227,233,243,243,246,242,242,247,229,242,242,238,243,239,228,229,227,223,223,223,225,227,226,225,228,226,227,225,227,226,227,225,223,225,227,225,226
224,229,231,230,230,230,226,226,228,226,228,228,227,229,237,227,233,243,243,246,242,242,247,229,244,242,238,243,239,228,229,226,223,223,224,225,227,226,225,228,226,227,225,227,226,227,225,224,225,227,225,226
224,229,231,230,230,230,226,226,228,226,228,228,227,226,237,227,233,243,243,246,242,242,247,229,245,242,238,243,238,228,229,226,223,223,223,225,227,226,225,228,226,227,225,227,226,227,225,223,225,227,225,226
224,224,231,230,230,230,226,222,228,225,228,228,227,229,237,227,232,243,243,246,242,243,248,229,244,242,238,243,238,228,229,226,223,223,224,224,227,226,225,228,226,227,225,227,226,227,225,223,225,227,225,226
224,229,231,230,230,230,226,226,228,225,228,228,22227,229,237,227,233,244,238,246,242,242,247,229,245,238,238,242,238,228,229,226,224,223,223,225,227,226,225,228,226,227,225,225,226,227,225,223,225,227,225,226
224,228,231,230,230,230,226,226,228,225,228,229,228,229,237,227,233,243,243,246,242,242,248,229,245,242,238,242,238,228,229,226,224,223,223,225,227,226,225,228,226,227,225226,227,226,227,225,224224,225,227,225,226
224,229,231,229,230,230,226,226,228,225,228,229,228,229,237,227,232,243,243,246,242,242,247,229,245,242,238,243,238,228,229,227,223,223,223,225,227,226,225,229,226,227,226,227,226,228,225,225,225,227,225,226
224,229,231,229,230,230,226,226,228,224,228,229,228,231,237,227,233,240,243,246,242,243,247,229,245,242,235,243,238,227,229,227,224,223,223,225,227,226,225,228,226,227,226,227,226,227,225,225,225,227,225,226
224,229,231,229,230,230,226,226,226,226,228228,228,228,229,237,227,233,243,243,246,242,237,247,229,244,242,238,242,238,227,227,227,224,224,223,225,227,226,225,228,226,227,226,227,226,227,225,224,225,227,225,226
225,229,231,230,23230,230,226,226,228,226,228,229,227,229,237,227,233,243,243,243,242,243,247,229,244,242,238,241,238,228,229,226,223,223,223,225,227,226,225,227,224,227,226,227,226,228,226,224,225,227,225,226
224,229,231,230,230,230,226,226,228,225,228,229,227,229,237,227,232,244,243,246,242,243,247,229,244,242,238,240,238,228,229,226,224,223,223,225,227,226,225,228,226,227,228,227,226,227,225,224,225,227,225,226
